127.0.0.1 - - [02/Aug/2017:22:56:23 +0530] "GET / HTTP/1.1" 404 994
127.0.0.1 - - [02/Aug/2017:22:56:31 +0530] "GET /MyDreamProject/ HTTP/1.1" 302 -
127.0.0.1 - - [02/Aug/2017:22:56:31 +0530] "GET /MyDreamProject/resources/images/paints.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:56:31 +0530] "GET /MyDreamProject/resources/css/home.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:56:31 +0530] "GET /MyDreamProject/resources/images/nuts_volts.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:56:31 +0530] "GET /MyDreamProject/resources/images/Store1.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:56:31 +0530] "GET /MyDreamProject/resources/css/footer.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:56:31 +0530] "GET /MyDreamProject/home/index HTTP/1.1" 200 10437
127.0.0.1 - - [02/Aug/2017:22:56:32 +0530] "GET /MyDreamProject/resources/images/kohli-tent-house-9.jpg HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:56:32 +0530] "GET /MyDreamProject/resources/css/loginfrom.css HTTP/1.1" 304 -
127.0.0.1 - - [02/Aug/2017:22:56:43 +0530] "GET /MyDreamProject/home/index HTTP/1.1" 200 10437
127.0.0.1 - - [02/Aug/2017:22:56:43 +0530] "GET /MyDreamProject/resources/css/home.css HTTP/1.1" 200 838
127.0.0.1 - - [02/Aug/2017:22:56:43 +0530] "GET /MyDreamProject/resources/css/footer.css HTTP/1.1" 200 2603
127.0.0.1 - - [02/Aug/2017:22:56:43 +0530] "GET /MyDreamProject/resources/css/loginfrom.css HTTP/1.1" 200 2331
127.0.0.1 - - [02/Aug/2017:22:56:43 +0530] "GET /MyDreamProject/resources/images/nuts_volts.jpg HTTP/1.1" 200 589889
127.0.0.1 - - [02/Aug/2017:22:56:43 +0530] "GET /MyDreamProject/resources/images/paints.jpg HTTP/1.1" 200 92590
127.0.0.1 - - [02/Aug/2017:22:56:43 +0530] "GET /MyDreamProject/resources/images/Store1.jpg HTTP/1.1" 200 552472
127.0.0.1 - - [02/Aug/2017:22:56:43 +0530] "GET /MyDreamProject/resources/images/kohli-tent-house-9.jpg HTTP/1.1" 200 78727
127.0.0.1 - - [02/Aug/2017:22:56:45 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
127.0.0.1 - - [02/Aug/2017:22:58:06 +0530] "GET /MyDreamProject/home/index HTTP/1.1" 200 10743
127.0.0.1 - - [02/Aug/2017:22:58:07 +0530] "GET /MyDreamProject/resources/css/home.css HTTP/1.1" 200 838
127.0.0.1 - - [02/Aug/2017:22:58:07 +0530] "GET /MyDreamProject/resources/css/loginfrom.css HTTP/1.1" 200 2331
127.0.0.1 - - [02/Aug/2017:22:58:07 +0530] "GET /MyDreamProject/resources/css/footer.css HTTP/1.1" 200 2603
127.0.0.1 - - [02/Aug/2017:22:58:07 +0530] "GET /MyDreamProject/resources/images/nuts_volts.jpg HTTP/1.1" 200 589889
127.0.0.1 - - [02/Aug/2017:22:58:07 +0530] "GET /MyDreamProject/resources/images/Store1.jpg HTTP/1.1" 200 552472
127.0.0.1 - - [02/Aug/2017:22:58:07 +0530] "GET /MyDreamProject/resources/images/paints.jpg HTTP/1.1" 200 92590
127.0.0.1 - - [02/Aug/2017:22:58:07 +0530] "GET /MyDreamProject/resources/images/kohli-tent-house-9.jpg HTTP/1.1" 200 78727
